domain_code,skill_code,weight_score,is_core,is_active
ai_data,python,95,1,1
ai_data,sql,90,1,1
ai_data,machine_learning,95,1,1
ai_data,deep_learning,88,0,1
ai_data,data_analysis,86,1,1
ai_data,statistics,84,0,1
ai_data,data_engineering,90,1,1
ai_data,problem_solving,82,0,1
cybersecurity,networking,92,1,1
cybersecurity,ethical_hacking,95,1,1
cybersecurity,cryptography,90,1,1
cybersecurity,python,78,0,1
cybersecurity,problem_solving,84,0,1
healthtech,medical_knowledge,92,1,1
healthtech,data_analysis,82,0,1
healthtech,sql,78,0,1
healthtech,python,75,0,1
healthtech,communication,74,0,1
biotech,biology,95,1,1
biotech,statistics,82,0,1
biotech,data_analysis,80,0,1
biotech,problem_solving,78,0,1
biotech,medical_knowledge,76,0,1
fintech,sql,88,1,1
fintech,excel,86,0,1
fintech,financial_analysis,95,1,1
fintech,risk_management,90,1,1
fintech,statistics,80,0,1
climate_tech,data_analysis,82,0,1
climate_tech,problem_solving,84,0,1
climate_tech,communication,72,0,1
climate_tech,statistics,78,0,1
climate_tech,leadership,70,0,1
renewable_energy,mechanics,88,1,1
renewable_energy,electronics,86,1,1
renewable_energy,problem_solving,82,0,1
renewable_energy,communication,70,0,1
renewable_energy,programming,65,0,1
ev_mobility,mechanics,90,1,1
ev_mobility,electronics,88,1,1
ev_mobility,problem_solving,82,0,1
ev_mobility,programming,70,0,1
ev_mobility,communication,68,0,1
robotics,mechanics,92,1,1
robotics,electronics,92,1,1
robotics,programming,85,1,1
robotics,python,78,0,1
robotics,problem_solving,86,0,1
space_tech,problem_solving,85,0,1
space_tech,programming,78,0,1
space_tech,electronics,82,0,1
space_tech,communication,70,0,1
space_tech,leadership,68,0,1
edtech,communication,88,1,1
edtech,product_management,82,0,1
edtech,content_writing,80,0,1
edtech,uiux,78,0,1
edtech,problem_solving,76,0,1
agritech,agriculture_basics,95,1,1
agritech,data_analysis,78,0,1
agritech,problem_solving,80,0,1
agritech,communication,70,0,1
agritech,statistics,75,0,1
iot,networking,85,0,1
iot,electronics,90,1,1
iot,programming,82,1,1
iot,python,76,0,1
iot,problem_solving,80,0,1
blockchain,cryptography,88,1,1
blockchain,python,78,0,1
blockchain,sql,72,0,1
blockchain,problem_solving,82,0,1
blockchain,communication,68,0,1
cloud_computing,aws,95,1,1
cloud_computing,sql,78,0,1
cloud_computing,python,80,0,1
cloud_computing,devops,92,1,1
cloud_computing,networking,82,0,1
devops,devops,95,1,1
devops,aws,90,1,1
devops,python,75,0,1
devops,problem_solving,82,0,1
devops,time_management,70,0,1
ar_vr,uiux,88,1,1
ar_vr,graphic_design,82,0,1
ar_vr,figma,78,0,1
ar_vr,creativity,86,0,1
ar_vr,storytelling,74,0,1
gaming,programming,80,1,1
gaming,python,72,0,1
gaming,problem_solving,82,0,1
gaming,creativity,84,0,1
gaming,storytelling,78,0,1
creator_economy,content_writing,88,1,1
creator_economy,social_media,90,1,1
creator_economy,video_editing,86,0,1
creator_economy,storytelling,84,0,1
creator_economy,communication,82,0,1
digital_marketing,seo,92,1,1
digital_marketing,social_media,90,1,1
digital_marketing,content_writing,88,0,1
digital_marketing,communication,82,0,1
digital_marketing,excel,70,0,1
ecommerce,product_management,84,0,1
ecommerce,excel,78,0,1
ecommerce,sql,76,0,1
ecommerce,communication,80,0,1
ecommerce,problem_solving,78,0,1
supply_chain,excel,85,1,1
supply_chain,sql,80,0,1
supply_chain,problem_solving,78,0,1
supply_chain,communication,76,0,1
supply_chain,time_management,74,0,1
manufacturing,mechanics,90,1,1
manufacturing,electronics,82,0,1
manufacturing,problem_solving,80,0,1
manufacturing,leadership,72,0,1
manufacturing,time_management,70,0,1
construction_tech,problem_solving,80,0,1
construction_tech,communication,75,0,1
construction_tech,leadership,72,0,1
construction_tech,time_management,70,0,1
construction_tech,excel,68,0,1
legaltech,communication,82,1,1
legaltech,problem_solving,78,0,1
legaltech,content_writing,76,0,1
legaltech,cybersecurity,70,0,1
legaltech,sql,65,0,1
hrtech,communication,88,1,1
hrtech,product_management,80,0,1
hrtech,data_analysis,75,0,1
hrtech,leadership,78,0,1
hrtech,time_management,74,0,1
sports_tech,data_analysis,78,0,1
sports_tech,communication,80,0,1
sports_tech,problem_solving,76,0,1
sports_tech,leadership,70,0,1
sports_tech,time_management,72,0,1
traveltech,communication,84,1,1
traveltech,excel,76,0,1
traveltech,digital_marketing,78,0,1
traveltech,problem_solving,74,0,1
traveltech,time_management,72,0,1
foodtech,product_management,82,0,1
foodtech,communication,78,0,1
foodtech,problem_solving,76,0,1
foodtech,excel,72,0,1
foodtech,digital_marketing,70,0,1
fashiontech,graphic_design,82,0,1
fashiontech,uiux,78,0,1
fashiontech,creativity,88,1,1
fashiontech,figma,74,0,1
fashiontech,communication,72,0,1
nanotech,problem_solving,82,0,1
nanotech,statistics,80,0,1
nanotech,data_analysis,76,0,1
nanotech,communication,68,0,1
nanotech,programming,65,0,1
quantum,problem_solving,88,0,1
quantum,statistics,82,0,1
quantum,python,72,0,1
quantum,programming,75,0,1
quantum,communication,65,0,1
defense_tech,cybersecurity,85,0,1
defense_tech,networking,82,0,1
defense_tech,robotics,80,0,1
defense_tech,leadership,78,0,1
defense_tech,problem_solving,84,0,1
energy_storage,electronics,88,1,1
energy_storage,mechanics,82,0,1
energy_storage,problem_solving,80,0,1
energy_storage,communication,68,0,1
energy_storage,programming,65,0,1
urban_tech,iot,84,0,1
urban_tech,networking,78,0,1
urban_tech,problem_solving,80,0,1
urban_tech,communication,76,0,1
urban_tech,leadership,72,0,1
water_tech,problem_solving,80,0,1
water_tech,data_analysis,76,0,1
water_tech,communication,72,0,1
water_tech,statistics,74,0,1
water_tech,leadership,68,0,1
mental_health,communication,90,1,1
