domain_code,career_code,weight_score,is_active
ai_data,data_scientist,95,1
ai_data,ml_engineer,92,1
ai_data,data_analyst,88,1
ai_data,software_engineer,84,1
cybersecurity,cybersecurity_analyst,95,1
cybersecurity,ethical_hacker,92,1
cybersecurity,software_engineer,78,1
healthtech,doctor,88,1
healthtech,pharmacist,80,1
healthtech,data_analyst,72,1
biotech,doctor,90,1
biotech,pharmacist,86,1
biotech,data_scientist,70,1
fintech,financial_analyst,95,1
fintech,investment_banker,88,1
fintech,data_analyst,80,1
fintech,product_manager,72,1
climate_tech,product_manager,78,1
climate_tech,software_engineer,74,1
climate_tech,data_analyst,70,1
renewable_energy,cloud_engineer,70,1
renewable_energy,software_engineer,72,1
renewable_energy,product_manager,68,1
ev_mobility,software_engineer,70,1
ev_mobility,product_manager,72,1
ev_mobility,cloud_engineer,68,1
robotics,robotics_engineer,95,1
robotics,software_engineer,82,1
robotics,product_manager,70,1
space_tech,pilot,78,1
space_tech,software_engineer,72,1
space_tech,cloud_engineer,70,1
edtech,teacher,92,1
edtech,product_manager,80,1
edtech,content_creator,72,1
agritech,agriculture_officer,95,1
agritech,product_manager,72,1
agritech,data_analyst,70,1
iot,software_engineer,82,1
iot,cloud_engineer,80,1
iot,product_manager,70,1
blockchain,software_engineer,78,1
blockchain,product_manager,72,1
blockchain,cybersecurity_analyst,70,1
cloud_computing,cloud_engineer,95,1
cloud_computing,software_engineer,82,1
cloud_computing,product_manager,72,1
devops,cloud_engineer,90,1
devops,software_engineer,80,1
devops,product_manager,70,1
ar_vr,uiux_designer,88,1
ar_vr,graphic_designer,82,1
ar_vr,content_creator,74,1
gaming,software_engineer,78,1
gaming,content_creator,82,1
gaming,uiux_designer,70,1
creator_economy,content_creator,95,1
creator_economy,journalist,80,1
creator_economy,digital_marketer,78,1
digital_marketing,digital_marketer,95,1
digital_marketing,seo_specialist,92,1
digital_marketing,content_creator,78,1
ecommerce,product_manager,88,1
ecommerce,digital_marketer,80,1
ecommerce,financial_analyst,70,1
supply_chain,product_manager,80,1
supply_chain,financial_analyst,72,1
supply_chain,data_analyst,74,1
manufacturing,software_engineer,70,1
manufacturing,robotics_engineer,78,1
manufacturing,product_manager,72,1
construction_tech,product_manager,75,1
construction_tech,software_engineer,70,1
construction_tech,financial_analyst,65,1
legaltech,teacher,70,1
legaltech,product_manager,68,1
legaltech,cybersecurity_analyst,66,1
hrtech,product_manager,78,1
hrtech,data_analyst,72,1
hrtech,entrepreneur,70,1
sports_tech,content_creator,72,1
sports_tech,product_manager,68,1
sports_tech,data_analyst,66,1
traveltech,hotel_manager,90,1
traveltech,digital_marketer,76,1
traveltech,entrepreneur,70,1
foodtech,entrepreneur,78,1
foodtech,product_manager,74,1
foodtech,digital_marketer,70,1
fashiontech,graphic_designer,78,1
fashiontech,uiux_designer,72,1
fashiontech,entrepreneur,70,1
nanotech,data_scientist,70,1
nanotech,software_engineer,68,1
nanotech,product_manager,66,1
quantum,data_scientist,72,1
quantum,software_engineer,70,1
quantum,product_manager,68,1
defense_tech,defense_officer,95,1
defense_tech,cybersecurity_analyst,82,1
defense_tech,robotics_engineer,78,1
energy_storage,software_engineer,68,1
energy_storage,product_manager,70,1
energy_storage,cloud_engineer,66,1
urban_tech,product_manager,78,1
urban_tech,software_engineer,72,1
urban_tech,cloud_engineer,70,1
water_tech,product_manager,72,1
water_tech,data_analyst,68,1
water_tech,agriculture_officer,66,1
mental_health,doctor,88,1
mental_health,teacher,72,1
mental_health,content_creator,65,1
med_devices,doctor,90,1
med_devices,pharmacist,82,1
med_devices,software_engineer,70,1
pharma,pharmacist,95,1
pharma,doctor,88,1
pharma,data_analyst,65,1
insurance_tech,financial_analyst,90,1
insurance_tech,investment_banker,82,1
insurance_tech,data_analyst,70,1
data_engineering,data_analyst,85,1
data_engineering,software_engineer,80,1
data_engineering,ml_engineer,78,1
ai_ethics,product_manager,78,1
ai_ethics,teacher,72,1
ai_ethics,cybersecurity_analyst,68,1
marketing,digital_marketer,95,1
marketing,content_creator,88,1
marketing,entrepreneur,78,1
marketing,product_manager,72,1
marketing,journalist,70,1
ADVERTISING,digital_marketer,94,1
ADVERTISING,content_creator,91,1
ADVERTISING,graphic_designer,89,1
ADVERTISING,journalist,76,1
ADVERTISING,junior_content_creator,72,1
DIGITAL_MARKETING,digital_marketer,95,1
DIGITAL_MARKETING,seo_specialist,92,1
DIGITAL_MARKETING,content_creator,88,1
BRAND_MANAGEMENT,product_manager,90,1
BRAND_MANAGEMENT,digital_marketer,86,1
BRAND_MANAGEMENT,graphic_designer,84,1
manufacturing,field_technician,92,1
manufacturing,robotics_engineer,80,1
manufacturing,software_engineer,65,1
iot,field_technician,88,1
iot,software_engineer,82,1
iot,robotics_engineer,78,1
robotics,robotics_engineer,95,1
robotics,field_technician,80,1
robotics,software_engineer,72,1
renewable_energy,field_technician,90,1
renewable_energy,software_engineer,68,1
construction_tech,field_technician,92,1
construction_tech,product_manager,65,1
traveltech,hotel_manager,92,1
traveltech,digital_marketer,75,1
fashiontech,graphic_designer,90,1
fashiontech,uiux_designer,82,1
fashiontech,content_creator,72,1
digital_marketing,digital_marketer,95,1
digital_marketing,seo_specialist,90,1
digital_marketing,content_creator,82,1
digital_marketing,product_manager,72,1
creator_economy,content_creator,95,1
creator_economy,junior_content_creator,88,1
creator_economy,digital_marketer,78,1
entrepreneurship,entrepreneur,95,1
entrepreneurship,product_manager,82,1
entrepreneurship,digital_marketer,72,1
ecommerce,product_manager,88,1
ecommerce,digital_marketer,80,1
ecommerce,data_analyst,75,1
cloud_computing,cloud_engineer,95,1
cloud_computing,software_engineer,85,1
cloud_computing,data_analyst,72,1
devops,cloud_engineer,90,1
devops,software_engineer,88,1
legaltech,journalist,78,1
legaltech,teacher,65,1
edtech,teacher,92,1
edtech,content_creator,80,1
edtech,product_manager,72,1
mental_health,doctor,85,1
mental_health,teacher,75,1
supply_chain,product_manager,82,1
supply_chain,data_analyst,75,1
hrtech,product_manager,80,1
hrtech,data_analyst,72,1
data_engineering,data_analyst,92,1
data_engineering,data_scientist,85,1
data_engineering,software_engineer,78,1
ar_vr,uiux_designer,90,1
ar_vr,graphic_designer,82,1
ar_vr,software_engineer,75,1
gaming,software_engineer,88,1
gaming,graphic_designer,82,1
sports_tech,field_technician,80,1
agritech,field_technician,85,1
agritech,data_analyst,72,1
pharma,pharmacist,95,1
pharma,doctor,85,1
nanotech,data_scientist,78,1
quantum,data_scientist,82,1
